Source,Target,Weight
20,7,0.0013248272
20,25,0.017039938
20,24,0.0120042003
20,21,0.000245692616
20,6,0.0153203029
20,19,1.7e-05
20,13,0.00602070662
20,17,0.018763342
20,18,0.000334664249
20,29,0.00539944232
20,23,0.00258814571
20,11,3.04e-05
20,5,0.0299524756
20,8,0.000751829656
20,30,0.0131867988
20,16,0.0136505026
20,15,0.0129987892
20,9,0.00214228709
20,3,0.00375433005
20,22,0.00298551252
20,1,0.00408997954
20,14,0.00745558503
20,27,0.0095971546
20,28,0.0178547324
20,26,0.0109022099
20,12,0.0164503867
20,4,4.05e-05
20,2,0.00605505626
20,10,0.00720247159
7,20,0.00238797769
7,25,0.0261474691
7,24,0.00212391969
7,21,0.00171086346
7,6,0.00449442071
7,19,0.000848912059
7,13,0.0180348462
7,17,0.000703433473
7,18,0.000944741813
7,29,0.00968883184
7,23,0.00055969421
7,11,0.00249168828
7,5,0.000165273434
7,8,0.0173405551
7,30,0.000771054465
7,16,0.00271102006
7,15,1.45e-06
7,9,0.000476612566
7,3,0.0191161493
7,22,0.00922763724
7,1,5.2e-06
7,14,0.00696885954
7,27,0.00469859997
7,28,0.00219557265
7,26,0.00041575037
7,12,0.00522263852
7,4,3.51e-07
7,2,0.00460077575
7,10,0.00347408319
25,20,0.000321092814
25,7,0.000886366865
25,24,0.00957423461
25,21,0.00079737736
25,6,0.0010205177
25,19,0.00112171704
25,13,0.0158643592
25,17,0.0159132996
25,18,0.0193416033
25,29,0.000504881034
25,23,0.0230418278
25,11,9.14e-05
25,5,0.000532283819
25,8,0.00299912908
25,30,0.0127888014
25,16,0.00551337991
25,15,0.00232729231
25,9,0.00147231357
25,3,0.00102074632
25,22,0.000767017201
25,1,0.000851649577
25,14,0.0380546036
25,27,0.000205701601
25,28,0.0160930265
25,26,0.00312783407
25,12,0.00277117194
25,4,0.00149983645
25,2,3.9e-05
25,10,0.00438910937
24,20,0.00159664161
24,7,0.00642538312
24,25,0.00568386381
24,21,0.0176853291
24,6,0.0010323943
24,19,0.003757009
24,13,0.00044913143
24,17,0.0013402683
24,18,0.00525962475
24,29,0.0371815584
24,23,0.00227040758
24,11,0.0125162172
24,5,0.00902195
24,8,0.00410929583
24,30,0.00399588301
24,16,0.00291860268
24,15,0.0271638225
24,9,0.000127559392
24,3,0.000522417187
24,22,0.0251833865
24,1,0.000460310863
24,14,0.00734284299
24,27,0.000160599906
24,28,0.000227180773
24,26,0.000275306747
24,12,0.000711788829
24,4,6.51e-05
24,2,0.0198079243
24,10,0.00760658012
21,20,0.00870679958
21,7,0.00286507949
21,25,0.000364142293
21,24,0.00268031396
21,6,0.00529849951
21,19,0.000803367374
21,13,4.07e-05
21,17,0.000923042499
21,18,0.00167408331
21,29,0.00138603798
21,23,0.000111300517
21,11,0.00495922354
21,5,0.00232946517
21,8,0.0092895856
21,30,0.00222062755
21,16,0.0146278643
21,15,0.0171153472
21,9,2.7e-05
21,3,0.0087324423
21,22,0.0103664147
21,1,2.29e-06
21,14,0.000461097682
21,27,0.00277689086
